iter	Passed	Remaining
0	140	28050
1	143	14160
2	144	9513
3	146	7196
4	151	5898
5	157	5084
6	159	4401
7	166	4002
8	169	3604
9	174	3320
10	178	3060
11	179	2819
12	182	2623
13	184	2456
14	186	2296
15	188	2166
16	197	2131
17	202	2048
18	205	1953
19	207	1871
20	211	1798
21	212	1721
22	214	1652
23	216	1590
24	218	1530
25	220	1474
26	222	1427
27	224	1379
28	226	1335
29	229	1297
30	231	1259
31	233	1226
32	237	1203
33	246	1202
34	248	1173
35	250	1143
36	258	1137
37	262	1117
38	274	1131
39	284	1137
40	288	1120
41	297	1118
42	306	1118
43	310	1101
44	314	1083
45	323	1084
46	330	1077
47	334	1059
48	340	1049
49	346	1040
50	356	1040
51	379	1081
52	389	1081
53	394	1065
54	397	1048
55	401	1033
56	405	1017
57	408	1000
58	411	984
59	418	976
60	433	988
61	443	986
62	449	977
63	454	965
64	461	957
65	465	945
66	471	936
67	479	931
68	485	921
69	491	913
70	499	908
71	505	897
72	508	885
73	513	875
74	519	865
75	523	853
76	528	843
77	532	833
78	535	820
79	546	819
80	565	830
81	579	833
82	591	834
83	600	828
84	603	816
85	607	805
86	613	796
87	620	790
88	625	779
89	629	769
90	636	762
91	644	757
92	651	749
93	657	741
94	673	744
95	692	749
96	702	745
97	710	739
98	717	732
99	722	722
100	728	714
101	755	725
102	776	731
103	793	732
104	802	726
105	812	720
106	820	713
107	826	704
108	839	700
109	847	693
110	855	685
111	864	679
112	873	672
113	877	661
114	882	652
115	891	645
116	900	639
117	909	632
118	916	624
119	923	615
120	933	609
121	941	601
122	947	593
123	957	586
124	967	580
125	974	572
126	977	562
127	983	553
128	993	546
129	1003	540
130	1008	531
131	1023	527
132	1035	521
133	1042	513
134	1046	503
135	1051	495
136	1058	486
137	1062	477
138	1067	468
139	1072	459
140	1075	449
141	1079	441
142	1086	432
143	1094	425
144	1117	423
145	1121	414
146	1125	405
147	1131	397
148	1135	388
149	1142	380
150	1151	373
151	1156	365
152	1161	356
153	1165	348
154	1172	340
155	1178	332
156	1187	325
157	1195	317
158	1206	311
159	1221	305
160	1227	297
161	1233	289
162	1241	281
163	1248	274
164	1256	266
165	1261	258
166	1270	251
167	1278	243
168	1286	235
169	1300	229
170	1305	221
171	1311	213
172	1314	205
173	1319	197
174	1328	189
175	1336	182
176	1344	174
177	1348	166
178	1352	158
179	1355	150
180	1358	142
181	1362	134
182	1413	131
183	1450	126
184	1466	118
185	1483	111
186	1492	103
187	1514	96
188	1524	88
189	1531	80
190	1538	72
191	1554	64
192	1585	57
193	1594	49
194	1611	41
195	1616	32
196	1625	24
197	1632	16
198	1640	8
199	1645	0
