project_id,state,district,latitude,longitude,project_type,implementing_department,land_area_hectares,families_affected,compensation_assessed_inr,compensation_disbursed_pct,legal_disputes_count,notification_date,approval_stage,rr_progress_pct,stakeholder_responsiveness,historical_dept_avg_delay_days,last_activity_date,risk_score_raw,delayed,delay_days
LA-2021-0000,Andhra Pradesh,Visakhapatnam,16.4538,80.0184,Irrigation/Water Res.,State Water Resources Dept,13.3,45,118966000,61.2,3,2021-07-18,Stage 4 of 5,47.7,Medium,173,2026-06-04,0.439,Y,717
LA-2023-0001,Karnataka,Belagavi,15.2579,75.1298,Urban Infra/Metro,State Metro Rail Corp,2.7,26,13206000,53.6,0,2023-08-06,Stage 2 of 5,33.3,Medium,387,2026-08-23,0.337,Y,636
LA-2023-0002,Uttar Pradesh,Noida,26.301,80.7366,Railway,Ministry of Railways,36.4,235,193055000,52.7,1,2023-04-23,Stage 3 of 5,26.0,Low,68,2026-05-05,0.429,Y,170
LA-2024-0003,Tamil Nadu,Chennai,11.6251,79.0769,Railway,Ministry of Railways,13.2,29,93771000,97.9,0,2024-04-03,Stage 5 of 5,76.8,High,330,2026-08-17,0.091,N,10
LA-2024-0004,Bihar,Darbhanga,24.5266,84.8426,Highway,State PWD,4.6,39,45028000,28.0,8,2024-02-25,Stage 3 of 5,32.0,High,56,2026-06-28,0.912,Y,121
LA-2022-0005,Rajasthan,Jaipur,26.813,73.7644,Railway,Ministry of Railways,7.0,25,15672000,34.7,0,2022-09-05,Stage 1 of 5,15.3,Low,142,2026-07-29,0.375,Y,181
LA-2025-0006,Karnataka,Bengaluru Rural,15.1537,76.28,Urban Infra/Metro,State Metro Rail Corp,16.2,15,60574000,94.4,0,2025-12-01,Stage 5 of 5,77.8,Medium,189,2026-08-19,0.231,N,8
LA-2025-0007,Tamil Nadu,Coimbatore,10.6241,78.5005,Highway,NHAI,14.5,139,113067000,89.8,1,2025-11-02,Stage 5 of 5,71.3,Medium,189,2026-08-16,0.124,N,3
LA-2021-0008,Uttar Pradesh,Agra,27.0758,80.8103,Urban Infra/Metro,State Metro Rail Corp,11.6,24,106565000,0.0,12,2021-10-04,Stage 2 of 5,1.2,High,222,2026-04-10,1.292,Y,590
LA-2025-0009,Rajasthan,Alwar,27.4514,74.1033,Power Transmission,Power Grid Corp,19.3,117,127537000,27.8,2,2025-10-21,Stage 1 of 5,34.1,Low,299,2026-06-28,0.358,Y,744
