project_id,state,district,latitude,longitude,project_type,implementing_department,land_area_hectares,families_affected,compensation_assessed_inr,compensation_disbursed_pct,legal_disputes_count,notification_date,approval_stage,rr_progress_pct,stakeholder_responsiveness,historical_dept_avg_delay_days,last_activity_date,risk_score_raw,delayed,delay_days,project_budget,status,actual_end_date,action_taken,final_outcome,created_by
LA-2021-0000,Andhra Pradesh,Visakhapatnam,16.4538,80.0184,Irrigation/Water Res.,State Water Resources Dept,13.3,45,118966000,61.2,3,2021-07-29,Stage 4 of 5,47.7,Medium,173,2026-06-12,0.439,Y,717,415880000,Completed,2023-02-11,False,Delayed - Unresolved,seed_officer_018
LA-2025-0001,West Bengal,Howrah,23.3569,87.6205,Highway,NHAI,9.6,118,63070000,28.0,4,2025-09-05,Stage 3 of 5,20.2,Medium,20,2026-07-30,0.51,Y,38,248140000,Ongoing,,False,,seed_officer_009
LA-2021-0002,Rajasthan,Jaipur,27.3206,74.2655,Irrigation/Water Res.,State Water Resources Dept,22.0,91,95497000,98.4,0,2021-01-25,Stage 5 of 5,89.4,Medium,259,2026-08-24,0.021,N,29,441750000,Completed,2023-09-25,,On Time,seed_officer_038
LA-2023-0003,Andhra Pradesh,Kurnool,16.1155,79.9391,Irrigation/Water Res.,State Water Resources Dept,12.4,68,133087000,65.5,0,2023-06-01,Stage 4 of 5,89.4,Medium,106,2026-08-30,0.176,N,5,401450000,Completed,2026-01-13,,On Time,seed_officer_002
LA-2024-0004,Bihar,Patna,25.4028,84.9877,Highway,NHAI,12.6,27,103098000,47.0,2,2024-06-17,Stage 3 of 5,36.5,Low,292,2026-07-24,0.449,Y,376,686840000,Ongoing,,False,,seed_officer_015
LA-2022-0005,Andhra Pradesh,Anantapur,15.5105,79.7809,Railway,Ministry of Railways,6.1,47,24634000,78.9,0,2022-02-06,Stage 4 of 5,50.3,Medium,203,2026-08-09,0.361,Y,250,70960000,Completed,2024-05-18,True,Delayed - Resolved,seed_officer_036
LA-2025-0006,Andhra Pradesh,Vijayawada,15.6035,80.1038,Railway,State Railway Infra Corp,21.6,81,173494000,36.7,2,2025-09-26,Stage 2 of 5,15.7,Medium,204,2026-05-06,0.505,Y,152,977410000,Stalled,,True,Delayed - Unresolved,seed_officer_015
LA-2022-0007,Maharashtra,Aurangabad,20.2611,76.1667,Highway,State PWD,42.1,231,270248000,93.8,0,2022-07-25,Stage 5 of 5,81.6,Low,291,2026-08-29,0.111,N,29,825050000,Completed,2024-12-12,,On Time,seed_officer_001
LA-2025-0008,Maharashtra,Satara,19.3455,76.1922,Irrigation/Water Res.,State Water Resources Dept,19.2,27,127199000,27.3,0,2025-10-06,Stage 1 of 5,12.1,Medium,107,2026-08-27,0.468,Y,272,474670000,Ongoing,,False,,seed_officer_028
LA-2022-0009,Bihar,Bhagalpur,25.5834,85.2344,Railway,State Railway Infra Corp,258.5,2348,1420454000,40.4,0,2022-01-11,Stage 1 of 5,33.1,High,291,2026-09-02,0.282,N,28,7724120000,Completed,2025-02-12,,On Time,seed_officer_010
